Category,Name,Abstract
1,O.J. Simpson,"Former American football star ______ was acquitted for the murders of his ex-wife and her friend following a high-profile 1995 criminal trial, dubbed the ""Trial of the Century."""
1,Paul Robeson,______ was an acclaimed 20th-century performer known for productions like 'The Emperor Jones' and 'Othello.' He was also an international activist.
1,Tom Brady,New England Patriot ______ is the first quarterback in NFL history to win five Super Bowl championships.
1,Nick Foles,NFL quarterback ______ enjoyed a record-setting 2013 season and led the Philadelphia Eagles to victory in Super Bowl LII in 2018.
1,Brett Favre,"Former NFL quarterback ______ led the Green Bay Packers to victory in Super Bowl XXXI, and retired as the all-time leader in passing yards and touchdowns."
1,Aaron Hernandez,"American football player ______ received a life sentence for murdering his friend Odin Lloyd in 2013. After he committed suicide in his jail cell in 2017, he was revealed to have been suffering from the degenerative brain disease CTE."
1,Colin Kaepernick,"______, a quarterback for the National Football League's San Francisco 49ers from 2011 to 2016, became known for protesting injustice by refusing to stand for the national anthem."
1,Cam Newton,American football quarterback ______ won the Heisman Trophy at Auburn University and became an NFL MVP with the Carolina Panthers.
1,Eli Manning,"______ is the Super Bowl–winning quarterback for the New York Giants, the brother of NFL quarterback Peyton Manning, and the son of former NFL quarterback Archie Manning."
1,Peyton Manning,Pro football quarterback ______ set numerous records en route to winning five NFL MVP awards and two Super Bowls.
1,Tim Tebow,NFL quarterback ______ won both the Heisman Trophy and the BCS National Championship while playing for the Florida Gators in college. He was drafted by the NFL’s Denver Broncos in 2010 and joined the New York Jets in 2012.
1,Michael Vick,"Star NFL quarterback ______'s promising career was tainted by off-the-field activities, including involvement in an illegal dog-fighting ring."
1,Michael Oher,______ is an NFL football player with the Baltimore Ravens. He was the subject of Michael Lewis's book 'The Blind Side' and the 2009 film of the same name.
1,Pat Tillman,"Football player ______ enlisted in the U.S. Army in 2002. He was killed in action in 2004, and the exact circumstances of his death are still in question."
1,Drew Bledsoe,"Quarterback ______ was a starter with the New England Patriots for nearly eight years, before moving on to lead the Buffalo Bills and the Dallas Cowboys."
1,Joe Montana,"Professional football player ______ led the 49ers to victories in four Super Bowls, including consecutive wins in 1989 and 1990."
1,Jim Thorpe,Native American ______ won the pentathlon and decathlon at the 1912 Olympics but was stripped of his gold medals for violating amateur eligibility rules.
1,Walter Payton,"One of the greatest players in NFL history, ______ earned nine Pro Bowl selections and set several rushing records during his 13 years with the Chicago Bears."
1,Terry Bradshaw,"One of the greatest quarterbacks in NFL history, ______ has spent much of his life playing, reporting and commenting on football."
1,Victor Cruz,"______ is a Pro Bowl wide receiver for the New York Giants. In 2011, his first full year for the team, he helped lead the club to victory in Super Bowl XLVI."
